Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimID
Nov,3.0,Tuesday,Toyota,Urban,,Nov,4.0,Male,Married,31.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1369.0,14.0,400.0,4.0,more than 30,more than 30,1,7 years,31 to 35,No,No,,more than 5,no change,1 vehicle,2019.0,Collision,1368
nov,2.0,wednesday,pontiac,urban,wednesday,nov,,male,married,63.0,policy holder,sedan - liability,sport,30000 to 39000,1370.0,7.0,400.0,3.0,more than 30,more than 30,more than 4,7 years,51 to 65,no,no,external,none,no change,1 vehicle,2019.0,liability,1369
Aug,1.0,Thursday,Pontiac,Urban,Tuesday,,2.0,Female,,,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,,5.0,400.0,1.0,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,2019.0,Collision,1370
Jul,4.0,Thursday,Pontiac,Urban,Friday,Aug,1.0,Male,Married,,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1372.0,9.0,400.0,1.0,more than 30,,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,2019.0,Collision,1371
may,1.0,tuesday,pontiac,urban,wednesday,may,1.0,male,married,37.0,third party,sedan - all perils,,20000 to 29000,1373.0,6.0,400.0,3.0,more than 30,more than 30,1,7 years,36 to 40,no,no,external,1 to 2,no change,1 vehicle,2019.0,all perils,1372
,1.0,Wednesday,,Urban,,,2.0,Female,Married,40.0,Policy Holder,Sedan - All Perils,Sedan,,1374.0,5.0,,4.0,,more than 30,none,7 years,36 to 40,No,No,External,,no change,,2019.0,All Perils,1373
Apr,5.0,Sunday,,Urban,Thursday,May,1.0,Male,Married,47.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,1375.0,11.0,400.0,4.0,,more than 30,2 to 4,more than 7,41 to 50,Yes,No,External,none,no change,1 vehicle,2019.0,Liability,1374
apr,4.0,friday,,urban,wednesday,jul,1.0,male,single,49.0,third party,sedan - collision,sedan,30000 to 39000,1376.0,15.0,400.0,2.0,,more than 30,2 to 4,7 years,41 to 50,no,no,external,more than 5,no change,1 vehicle,2019.0,collision,1375
apr,3.0,sunday,pontiac,urban,friday,apr,4.0,,married,63.0,policy holder,sedan - liability,sport,20000 to 29000,1377.0,9.0,400.0,2.0,more than 30,more than 30,2 to 4,more than 7,51 to 65,,no,external,3 to 5,no change,1 vehicle,2019.0,liability,1376
Nov,,Friday,Honda,Urban,Thursday,Nov,3.0,Male,Married,,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1378.0,16.0,500.0,3.0,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,2 to 3 years,1 vehicle,2019.0,All Perils,1377
Oct,5.0,Sunday,Honda,Urban,Wednesday,Nov,1.0,Male,Married,,Policy Holder,,Sport,20000 to 29000,1379.0,8.0,400.0,4.0,,more than 30,1,,31 to 35,No,,,,no change,1 vehicle,2019.0,,1378
Oct,4.0,Wednesday,Toyota,Urban,Saturday,Nov,1.0,Male,Married,45.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1380.0,,400.0,1.0,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,,1 vehicle,2019.0,Liability,1379
Oct,,Monday,,Urban,Monday,Oct,2.0,,Single,30.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,1381.0,14.0,400.0,2.0,more than 30,more than 30,more than 4,6 years,,No,No,External,3 to 5,no change,1 vehicle,2019.0,Liability,1380
Sep,2.0,,Toyota,Urban,Wednesday,Sep,3.0,Male,Single,22.0,Policy Holder,Sedan - All Perils,Sedan,,1382.0,,400.0,4.0,more than 30,more than 30,2 to 4,3 years,26 to 30,No,,External,1 to 2,no change,1 vehicle,2019.0,All Perils,1381
sep,2.0,monday,mazda,urban,tuesday,sep,2.0,,,,policy holder,sport - collision,sport,more than 69000,,14.0,400.0,,more than 30,more than 30,2 to 4,,41 to 50,no,no,external,more than 5,no change,,2019.0,collision,1382
aug,2.0,friday,chevrolet,rural,thursday,aug,4.0,male,married,28.0,third party,utility - all perils,utility,more than 69000,1384.0,1.0,400.0,3.0,more than 30,more than 30,more than 4,7 years,31 to 35,no,no,external,3 to 5,no change,1 vehicle,2019.0,,1383
aug,2.0,tuesday,honda,urban,wednesday,aug,2.0,male,married,33.0,policy holder,sport - collision,sport,more than 69000,,3.0,400.0,4.0,more than 30,more than 30,,7 years,31 to 35,no,no,external,none,no change,1 vehicle,2019.0,collision,1384
,2.0,friday,honda,urban,friday,jul,4.0,,single,28.0,policy holder,sedan - collision,sedan,20000 to 29000,1386.0,,400.0,4.0,more than 30,more than 30,none,4 years,31 to 35,,no,external,none,no change,1 vehicle,2019.0,collision,1385
jun,2.0,thursday,toyota,rural,friday,jun,2.0,female,married,40.0,policy holder,sedan - liability,sport,20000 to 29000,1387.0,1.0,400.0,,,more than 30,2 to 4,6 years,36 to 40,no,no,external,,4 to 8 years,2 vehicles,2019.0,liability,1386
jun,2.0,thursday,toyota,urban,wednesday,jun,4.0,,,49.0,third party,sedan - collision,sedan,30000 to 39000,1388.0,11.0,400.0,2.0,more than 30,more than 30,2 to 4,,41 to 50,no,no,external,none,no change,1 vehicle,2019.0,collision,1387
May,4.0,Monday,Pontiac,,Monday,May,4.0,Male,Single,20.0,Policy Holder,,Sedan,less than 20000,1389.0,8.0,400.0,2.0,more than 30,more than 30,1,,,No,No,External,none,,1 vehicle,2019.0,Collision,1388
May,,Friday,Mazda,Urban,Sunday,May,3.0,Male,,,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1390.0,4.0,400.0,4.0,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,2019.0,Collision,1389
may,2.0,monday,mazda,urban,tuesday,may,3.0,female,married,36.0,policy holder,sedan - collision,sedan,,1391.0,6.0,,3.0,more than 30,more than 30,more than 4,,36 to 40,no,no,external,more than 5,no change,1 vehicle,2019.0,collision,1390
May,2.0,,Ford,,Tuesday,Jul,3.0,Male,,43.0,,Sedan - Liability,Sport,30000 to 39000,1392.0,12.0,,3.0,more than 30,more than 30,more than 4,more than 7,36 to 40,No,,External,more than 5,no change,,2019.0,Liability,1391
apr,5.0,saturday,pontiac,urban,monday,may,2.0,,single,24.0,,sedan - all perils,sedan,20000 to 29000,1393.0,2.0,400.0,3.0,more than 30,more than 30,1,5 years,26 to 30,no,no,external,none,no change,1 vehicle,2019.0,,1392
Apr,4.0,Tuesday,Toyota,Urban,Sunday,May,1.0,,Married,32.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,1394.0,10.0,400.0,2.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,2019.0,All Perils,1393
Feb,,,Toyota,Rural,Friday,,1.0,Male,Married,65.0,,Sedan - Collision,Sedan,20000 to 29000,1395.0,9.0,400.0,3.0,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,,no change,3 to 4,2019.0,,1394
Dec,3.0,Saturday,,Urban,Monday,Dec,3.0,Male,Married,60.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1396.0,14.0,,1.0,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,no change,,2019.0,Collision,1395
feb,3.0,saturday,pontiac,,monday,mar,3.0,male,,33.0,policy holder,sedan - collision,sedan,30000 to 39000,1397.0,12.0,400.0,2.0,more than 30,more than 30,1,6 years,,no,no,external,none,no change,1 vehicle,2019.0,collision,1396
mar,1.0,thursday,toyota,urban,monday,mar,3.0,male,married,27.0,policy holder,sedan - liability,sport,30000 to 39000,1398.0,,400.0,3.0,more than 30,more than 30,none,7 years,31 to 35,no,,external,none,no change,,2019.0,liability,1397
Mar,4.0,Monday,Toyota,Urban,Wednesday,Mar,4.0,Male,Married,28.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,1399.0,5.0,400.0,4.0,,more than 30,more than 4,,31 to 35,No,No,External,more than 5,no change,1 vehicle,2019.0,,1398
Jan,,Thursday,Toyota,Urban,Tuesday,,5.0,Male,Single,18.0,Policy Holder,Sedan - Liability,,20000 to 29000,1400.0,5.0,400.0,3.0,more than 30,more than 30,2 to 4,3 years,21 to 25,No,No,External,more than 5,no change,1 vehicle,2019.0,Liability,1399
Dec,5.0,Friday,VW,Urban,Monday,Jan,1.0,Male,,,Policy Holder,Sedan - Collision,Sedan,more than 69000,1401.0,6.0,400.0,2.0,more than 30,,2 to 4,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,2019.0,Collision,1400
Sep,4.0,Friday,Mazda,Urban,Wednesday,,4.0,Male,Married,63.0,Policy Holder,Sedan - Collision,,20000 to 29000,1402.0,15.0,,4.0,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,2019.0,Collision,1401
Dec,,Friday,Pontiac,Urban,Friday,Dec,4.0,Male,Single,48.0,Third Party,Utility - All Perils,Utility,more than 69000,1403.0,14.0,400.0,3.0,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,2019.0,All Perils,1402
,3.0,Saturday,Mazda,Urban,Monday,,3.0,Female,Single,32.0,Third Party,Sedan - All Perils,Sedan,30000 to 39000,1404.0,2.0,400.0,3.0,more than 30,more than 30,none,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,2019.0,All Perils,1403
Dec,3.0,Monday,Pontiac,Urban,Tuesday,Dec,3.0,Female,Single,55.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1405.0,,400.0,1.0,more than 30,more than 30,none,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,2019.0,Liability,1404
Dec,4.0,Friday,Honda,Urban,Thursday,Dec,5.0,Female,Single,41.0,Third Party,,Sport,20000 to 29000,1406.0,14.0,400.0,3.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,2019.0,Liability,1405
dec,4.0,thursday,honda,urban,friday,dec,4.0,male,married,56.0,third party,sedan - all perils,sedan,20000 to 29000,1407.0,1.0,,4.0,more than 30,more than 30,1,7 years,,no,,,more than 5,no change,1 vehicle,,all perils,1406
Dec,,Saturday,Honda,,Tuesday,Dec,4.0,Male,Married,37.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1408.0,16.0,400.0,1.0,more than 30,more than 30,1,,36 to 40,No,,External,none,4 to 8 years,2 vehicles,2019.0,Collision,1407
,3.0,tuesday,pontiac,urban,thursday,dec,4.0,male,married,66.0,policy holder,sedan - collision,sedan,20000 to 29000,1409.0,8.0,400.0,4.0,,more than 30,,,over 65,no,no,external,more than 5,no change,1 vehicle,2019.0,collision,1408
Sep,4.0,,Toyota,Urban,Monday,Sep,4.0,Female,Single,31.0,,Sedan - Collision,Sedan,,1410.0,1.0,400.0,4.0,more than 30,more than 30,1,6 years,31 to 35,,No,External,1 to 2,no change,1 vehicle,2019.0,Collision,1409
Mar,4.0,Wednesday,Mazda,,Monday,Mar,5.0,Female,Single,31.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1411.0,9.0,400.0,3.0,more than 30,more than 30,2 to 4,,31 to 35,No,,External,none,no change,1 vehicle,2019.0,Liability,1410
feb,3.0,monday,honda,urban,friday,may,2.0,female,,34.0,policy holder,sedan - all perils,sedan,,1412.0,,,1.0,more than 30,more than 30,none,6 years,31 to 35,no,no,external,none,,1 vehicle,2019.0,all perils,1411
Jan,2.0,Monday,Pontiac,Urban,Monday,Jan,2.0,Female,Single,61.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1413.0,,400.0,3.0,more than 30,more than 30,1,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,2019.0,Collision,1412
Jan,1.0,Thursday,Honda,Urban,Thursday,Jan,1.0,Male,Married,42.0,,Sedan - Liability,,30000 to 39000,,,400.0,4.0,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,2019.0,Liability,1413
jan,1.0,thursday,mazda,urban,tuesday,jan,2.0,male,married,36.0,policy holder,utility - all perils,utility,more than 69000,1415.0,11.0,400.0,2.0,more than 30,more than 30,2 to 4,6 years,36 to 40,,no,external,none,no change,1 vehicle,,all perils,1414
,1.0,Thursday,Chevrolet,Urban,Wednesday,Jan,,Male,Single,33.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,,5.0,400.0,1.0,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,2019.0,Collision,1415
mar,5.0,monday,mazda,urban,friday,apr,1.0,male,married,46.0,policy holder,sedan - liability,sport,30000 to 39000,,11.0,400.0,3.0,more than 30,more than 30,2 to 4,,41 to 50,no,no,external,3 to 5,no change,1 vehicle,,liability,1416
mar,3.0,thursday,pontiac,urban,friday,,3.0,male,married,33.0,third party,sedan - collision,sedan,30000 to 39000,1418.0,6.0,400.0,4.0,more than 30,more than 30,2 to 4,6 years,31 to 35,,no,external,3 to 5,no change,1 vehicle,2019.0,collision,1417
Feb,3.0,,Pontiac,Urban,Wednesday,Mar,1.0,Female,Single,32.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1419.0,16.0,,3.0,more than 30,more than 30,1,,31 to 35,No,No,External,none,no change,1 vehicle,2019.0,Liability,1418
may,1.0,,honda,urban,friday,may,4.0,male,single,0.0,policy holder,sedan - all perils,sedan,more than 69000,1420.0,7.0,400.0,2.0,more than 30,more than 30,none,new,16 to 17,no,,external,,,1 vehicle,2019.0,all perils,1419
may,1.0,tuesday,chevrolet,,tuesday,may,1.0,male,,42.0,policy holder,sedan - liability,sport,40000 to 59000,1421.0,1.0,400.0,2.0,more than 30,more than 30,more than 4,7 years,36 to 40,no,no,external,,no change,1 vehicle,2019.0,liability,1420
Feb,3.0,Saturday,Chevrolet,Urban,Monday,Feb,4.0,Male,,31.0,Third Party,Sedan - All Perils,Sedan,more than 69000,,3.0,400.0,4.0,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,2019.0,All Perils,1421
May,3.0,Sunday,,Urban,Tuesday,May,3.0,,Single,26.0,Third Party,,Sedan,20000 to 29000,1423.0,8.0,,4.0,more than 30,more than 30,1,6 years,31 to 35,No,No,External,,no change,,2019.0,Collision,1422
jun,3.0,thursday,toyota,urban,wednesday,jun,4.0,male,married,33.0,third party,sedan - all perils,sedan,20000 to 29000,1424.0,5.0,400.0,4.0,more than 30,more than 30,,7 years,31 to 35,no,,external,more than 5,no change,1 vehicle,2019.0,all perils,1423
feb,3.0,sunday,pontiac,rural,wednesday,mar,1.0,male,married,54.0,,sedan - all perils,sedan,less than 20000,1425.0,4.0,400.0,4.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,no,no,external,none,no change,1 vehicle,2019.0,all perils,1424
jul,2.0,saturday,pontiac,rural,,jul,,male,married,63.0,policy holder,sedan - all perils,sedan,less than 20000,1426.0,2.0,400.0,1.0,more than 30,more than 30,1,more than 7,,yes,,external,none,no change,1 vehicle,2019.0,all perils,1425
feb,3.0,sunday,toyota,urban,wednesday,mar,1.0,male,married,,policy holder,sedan - all perils,sedan,20000 to 29000,1427.0,9.0,700.0,3.0,more than 30,more than 30,1,7 years,31 to 35,no,no,external,none,no change,1 vehicle,2019.0,all perils,1426
Sep,,Friday,Mazda,,Monday,Oct,1.0,,Married,,Policy Holder,Sedan - Liability,Sport,30000 to 39000,1428.0,10.0,400.0,4.0,more than 30,more than 30,none,7 years,31 to 35,No,No,,none,no change,1 vehicle,2019.0,Liability,1427
feb,3.0,sunday,toyota,urban,friday,mar,3.0,male,,31.0,policy holder,sedan - all perils,sedan,20000 to 29000,,10.0,500.0,2.0,more than 30,more than 30,none,6 years,,no,no,external,none,2 to 3 years,2 vehicles,2019.0,all perils,1428
,3.0,Monday,Ford,Rural,Tuesday,Oct,3.0,Male,Married,,,Sedan - All Perils,Sedan,40000 to 59000,1430.0,14.0,400.0,1.0,more than 30,more than 30,none,more than 7,41 to 50,No,,External,more than 5,no change,1 vehicle,2019.0,,1429
Nov,2.0,Tuesday,Honda,Urban,Wednesday,Nov,2.0,Male,Married,35.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,,9.0,400.0,1.0,,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,2019.0,Liability,1430
Nov,2.0,Monday,Honda,Urban,Wednesday,Nov,2.0,Male,Single,16.0,Third Party,,Sport,more than 69000,1432.0,15.0,400.0,2.0,more than 30,more than 30,1,2 years,18 to 20,No,Yes,External,,no change,1 vehicle,2019.0,Collision,1431
jul,,saturday,pontiac,,monday,jul,3.0,male,married,38.0,policy holder,sedan - collision,sedan,20000 to 29000,1433.0,16.0,,2.0,more than 30,more than 30,1,6 years,36 to 40,no,no,external,none,no change,1 vehicle,2019.0,collision,1432
jul,4.0,thursday,pontiac,urban,thursday,jul,4.0,male,married,33.0,,sedan - liability,sport,20000 to 29000,,,400.0,2.0,more than 30,more than 30,1,,31 to 35,no,no,external,none,no change,1 vehicle,2019.0,liability,1433
Oct,4.0,Saturday,Chevrolet,Urban,Tuesday,Oct,5.0,Male,Married,43.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,,8.0,400.0,3.0,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,2019.0,All Perils,1434
dec,5.0,thursday,honda,urban,thursday,dec,,female,married,39.0,policy holder,sedan - liability,sport,20000 to 29000,1436.0,5.0,400.0,4.0,more than 30,more than 30,1,7 years,36 to 40,no,,external,none,no change,3 to 4,2019.0,liability,1435
Feb,,Sunday,Chevrolet,Rural,Tuesday,Oct,,Male,Married,,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1437.0,16.0,400.0,4.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,,All Perils,1436
jan,1.0,sunday,honda,urban,wednesday,,1.0,female,married,34.0,policy holder,sedan - collision,sedan,20000 to 29000,,10.0,400.0,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,no,no,external,none,no change,1 vehicle,2019.0,collision,1437
,1.0,Tuesday,Accura,,Thursday,Jul,2.0,Male,Married,60.0,Policy Holder,Utility - All Perils,Utility,more than 69000,1439.0,10.0,400.0,3.0,more than 30,more than 30,more than 4,,51 to 65,,No,External,none,no change,1 vehicle,2019.0,All Perils,1438
jul,1.0,friday,pontiac,,friday,sep,4.0,female,married,58.0,,sedan - liability,sport,,1440.0,,400.0,2.0,more than 30,more than 30,none,more than 7,51 to 65,no,no,external,,no change,1 vehicle,2019.0,liability,1439
,5.0,Tuesday,Accura,Urban,Friday,Nov,3.0,Male,Married,43.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,,,400.0,4.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,2019.0,Collision,1440
Jul,4.0,Saturday,Saab,Rural,Monday,Jul,4.0,Male,Married,,,Sedan - Collision,Sedan,30000 to 39000,1442.0,9.0,400.0,3.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,2019.0,Collision,1441
Jul,4.0,Thursday,Mazda,Urban,Thursday,Jul,4.0,Male,,28.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,,8.0,,3.0,more than 30,more than 30,2 to 4,,,,No,External,3 to 5,no change,1 vehicle,2019.0,Liability,1442
aug,3.0,,chevrolet,urban,,aug,3.0,male,divorced,34.0,policy holder,sedan - all perils,sedan,more than 69000,1444.0,4.0,,1.0,more than 30,more than 30,2 to 4,,31 to 35,no,no,external,none,no change,1 vehicle,2019.0,all perils,1443
,1.0,thursday,chevrolet,rural,monday,oct,3.0,female,married,,policy holder,sedan - collision,sedan,,1445.0,14.0,400.0,,more than 30,more than 30,1,,41 to 50,no,no,external,none,,1 vehicle,2019.0,collision,1444
Oct,1.0,Wednesday,,Urban,Monday,Oct,2.0,Male,Single,33.0,Policy Holder,,Sport,,1446.0,5.0,400.0,2.0,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,2019.0,Liability,1445
Dec,4.0,Wednesday,Pontiac,Urban,Monday,Jan,2.0,Male,Single,31.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,1447.0,10.0,400.0,1.0,more than 30,more than 30,2 to 4,,31 to 35,Yes,No,,3 to 5,no change,1 vehicle,2019.0,Collision,1446
,2.0,Monday,Porche,Urban,Wednesday,Dec,3.0,Male,Married,63.0,Policy Holder,Utility - All Perils,,40000 to 59000,1448.0,8.0,400.0,2.0,more than 30,,more than 4,more than 7,,No,No,External,1 to 2,no change,1 vehicle,2019.0,All Perils,1447
Apr,4.0,Wednesday,Chevrolet,Urban,Thursday,May,2.0,Male,Single,33.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,1449.0,14.0,400.0,2.0,more than 30,more than 30,,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,,Collision,1448
Jun,2.0,Wednesday,Toyota,Rural,Thursday,,2.0,Male,Married,39.0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1450.0,8.0,400.0,,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,3 to 5,4 to 8 years,2 vehicles,2019.0,All Perils,1449
aug,4.0,friday,honda,urban,tuesday,sep,,male,single,,policy holder,sedan - collision,sedan,20000 to 29000,1451.0,11.0,400.0,4.0,more than 30,more than 30,2 to 4,5 years,,no,no,external,3 to 5,no change,1 vehicle,2019.0,collision,1450
,4.0,Monday,Toyota,Urban,,Feb,4.0,Male,Married,66.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,,,400.0,2.0,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,2019.0,,1451
sep,3.0,saturday,,urban,tuesday,sep,3.0,female,single,33.0,policy holder,sedan - liability,sport,30000 to 39000,1453.0,14.0,400.0,3.0,more than 30,more than 30,more than 4,,,no,no,external,3 to 5,,,,liability,1452
May,4.0,Friday,Chevrolet,Urban,Monday,,2.0,,Single,48.0,Policy Holder,Utility - All Perils,,more than 69000,1454.0,1.0,400.0,1.0,none,more than 30,2 to 4,,41 to 50,No,No,External,none,no change,1 vehicle,2019.0,All Perils,1453
Oct,3.0,Tuesday,Honda,Urban,Tuesday,Oct,3.0,Male,Married,54.0,Third Party,,Sport,more than 69000,,,400.0,2.0,more than 30,more than 30,1,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,2019.0,Collision,1454
feb,4.0,thursday,toyota,urban,friday,feb,4.0,male,single,29.0,third party,sedan - collision,sedan,20000 to 29000,,,400.0,3.0,more than 30,more than 30,1,7 years,31 to 35,no,,external,none,no change,1 vehicle,2019.0,collision,1455
Feb,4.0,Monday,,Urban,Tuesday,Feb,4.0,Male,Single,0.0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1457.0,,400.0,3.0,,more than 30,2 to 4,new,16 to 17,No,No,External,none,1 year,1 vehicle,2019.0,All Perils,1456
feb,1.0,thursday,toyota,urban,thursday,feb,1.0,male,married,55.0,policy holder,,,20000 to 29000,1458.0,2.0,700.0,4.0,more than 30,more than 30,2 to 4,7 years,41 to 50,no,no,external,1 to 2,no change,1 vehicle,2019.0,,1457
,5.0,Tuesday,Honda,Urban,Thursday,Sep,1.0,Female,Married,,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1459.0,7.0,400.0,3.0,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,2019.0,Collision,1458
